Title,Num_Items,[Items],,,,,,,,,,,
10 GP Gemstones,12,Azurite,Banded Agate,Blue quartz,Eye agate,Hematite,Lapis lazuli,Malachite,Moss agate,Obsidian,Rhodochrosite,Tiger eye,Rhodochrosite
50 GP Gemstones,12,Bloodstone,Carnelian,Chalcedony,Chrysoprase,Citrine,Jasper,Moonstone,Onyx,Quartz,Sardonyx,Star rose quartz,Zircon
100 GP Gemstones,10,Amber,Amethyst,Chryseberyl,Coral,Garnet,Jade,Jet,Pearl,Spinel,Tourmaline,,
500 GP Gemstones,6,Spinel,Tourmaline,Alexandrite,Aquamarine,Black Pearl,Blue spinel,Peridot,Topaz,,,,
1000 GP Gemstones,8,Black opal,Blue sapphire,Emerald,Fire opal,Opal,Star ruby,Star sapphire,Yellow sapphire,,,,
5000 GP Gemstones,4,Black sapphire,Diamond,Jacinth,Ruby,,,,,,,,
25 GP Art Objects,10,Silver ewer,Carved bone statuette,Small gold bracelet,Cloth-of-gold vestments,Black velvet mask stitched with silver thread,Copper chalice with silver filingree,Pair of engraved bone dice,Small mirror set in a painted wooden frame,Embroidered silk hankerchief,Gold locket with a painted portrait inside,,
250 GP Art Objects,10,Gold ring set with bloodstones,Carved ivory statuette,Large gold bracelet,Silver necklace with a gemstone pendant,Bronze crown,Silk robe with gold embroidery,Large well-made tapestry,Brass mug with jade inlay,box of turquoise animal figurines,Gold bird cage with electrum filigree,,
750 GP Art Objects,10,Silver chalice set with moonstones,Silver-plated steel longsword with jet set in hilt,Carved harp of exotic wood with ivory inlay and zircon gem,Small gold idol,Gold dragon comb set with red garnets as eyes,Bottle stopper cork embossed with gold leaf and set with amethysts ,Ceremonial electrum dagger with a black pearl in the pommel,Silver and gold brooch,Obsidian statuette with gold fittings and inlay,Painted gold war mask,,
2500 GP Art Objects,10,Fine gold chain set with a fire opal,Old masterpiece painting,Embroidered silk and velvet mantle set with numerous moonstones,Platinum bracelet set with a sapphire,Embroidered glove set with jewel chips,Jeweled anklet,Gold music box,Gold circlet set with four aquamarines,Eye patch with a mock eye set in blue sapphire and moonstone,A necklace string of small pink pearls,,
7500 GP Art Objects,8,Jeweled gold crown,Jeweled platinum ring,Small gold statuette set with rubies,Gold cup set with emeralds,Gold jewelry box with platinum filigree,Painted gold child's sarcophagus,Jade game board with solid gold playing pieces,Bejeweled ivory drinking horn with gold filigree,,,,
